name	x	y	z	type	material
Iz	0	0	310	ring	Ag/AgCl
SC1	0	0	265	ring	Ag/AgCl
S3	0	0	240	ring	Ag/AgCl
S4	-50	0	230	ring	Ag/AgCl
S5	-10	0	230	ring	Ag/AgCl
S6	0	0	220	ring	Ag/AgCl
S7	10	0	230	ring	Ag/AgCl
S8	50	0	230	ring	Ag/AgCl
S9	-10	0	210	ring	Ag/AgCl
SC6	0	0	200	ring	Ag/AgCl
S11	10	0	210	ring	Ag/AgCl
S12	-50	0	190	ring	Ag/AgCl
S13	-10	0	190	ring	Ag/AgCl
S14	0	0	180	ring	Ag/AgCl
S15	10	0	190	ring	Ag/AgCl
S16	50	0	190	ring	Ag/AgCl
S17	-10	0	170	ring	Ag/AgCl
S18	0	0	160	ring	Ag/AgCl
S19	10	0	170	ring	Ag/AgCl
TH6	0	0	0	ring	Ag/AgCl
S20	0	0	-200	ring	Ag/AgCl
S21	-50	0	-210	ring	Ag/AgCl
S22	-10	0	-210	ring	Ag/AgCl
S23	0	0	-220	ring	Ag/AgCl
S24	10	0	-210	ring	Ag/AgCl
S25	50	0	-210	ring	Ag/AgCl
S26	-10	0	-230	ring	Ag/AgCl
L1	0	0	-240	ring	Ag/AgCl
S28	10	0	-230	ring	Ag/AgCl
S29	-50	0	-250	ring	Ag/AgCl
S30	-10	0	-250	ring	Ag/AgCl
S31	0	0	-260	ring	Ag/AgCl
S32	10	0	-250	ring	Ag/AgCl
S33	50	0	-250	ring	Ag/AgCl
S34	-10	0	-270	ring	Ag/AgCl
S35	0	0	-280	ring	Ag/AgCl
S36	10	0	-270	ring	Ag/AgCl
L4	0	0	-400	ring	Ag/AgCl
AC	0	n/a	n/a	ring	Ag/AgCl
AL	0	n/a	n/a	ring	Ag/AgCl
Fz-TH6	0	n/a	n/a	ring	Ag/AgCl
